	CONCEPT_NAMES	0	1	2	3	4	5	6	7	8	9
trm_557b49206928b	pattern maintenance	cingulate	cingulate cortex	state	resting	resting state	anterior	posterior cingulate	insula	state functional	anterior cingulate
trm_557b494ca540d	potential monetary loss	negative	emotional	emotion	positive	state	medial prefrontal	social	medial	emotions	posterior cingulate
trm_557b493133416	place maintenance	cingulate	state	resting	resting state	cingulate cortex	posterior cingulate	prefrontal cortex	state functional	matter	mode network
trm_4a3fd79d0a038	decision making	supplementary	supplementary motor	sma	motor	motor imagery	motor sma	premotor	movements	foot	movement
trm_55c6f87595b39	face maintenance	somatosensory	primary	somatosensory cortex	contralateral	somatosensory cortices	ipsilateral	primary motor	motor cortex	stimulation	primary somatosensory
trm_557b4bb7cf05b	word maintenance	intraparietal	task	intraparietal sulcus	visual	working memory	working	tasks	ips	sulcus ips	fronto parietal
trm_55b6b98b88f45	tongue response execution	visual	occipital	task	objects	object	occipito	occipito temporal	intraparietal	intraparietal sulcus	color
trm_4a3fd79d0b665	emotion recognition	occipital	visual	lateral occipital	occipito	object	objects	occipito temporal	occipital cortex	v1	fusiform
trm_4a3fd79d0b392	theory of mind	finger	finger movements	finger tapping	sequential	tapping	coordination	motor task	motor	secondary	premotor
trm_55ce70b20186b	detection	visual	intraparietal	intraparietal sulcus	occipital	extrastriate	object	visual cortex	visually	occipito	perceptual
trm_4a3fd79d0b46f	visual attention	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color
trm_557b4b27dfd5e	visual form discrimination	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg
trm_4a3fd79d0b043	selective attention	state	resting	resting state	healthy	cingulate	matter	state functional	gray	clinical	gray matter
trm_558c7b337080f	right hand response execution	face	fusiform	temporal	fusiform gyrus	temporal cortex	temporal sulcus	faces	ffa	semantic	fusiform face
trm_557b48d40d3cf	negative emotion	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex
trm_557b4904ee26d	object maintenance	acoustic	listening	pain	insula	somatosensory	sounds	auditory cortex	auditory	auditory cortices	heschl
trm_55c6f58e77fbe	story comprehension	cingulate	cingulate cortex	anterior cingulate	medial prefrontal	posterior cingulate	default mode	default	mode	mode network	anterior
trm_557b4aa070c10	selective control	fusiform	face	occipital	face ffa	lateral occipital	fusiform face	ffa	fusiform gyrus	inferior occipital	faces
trm_55ef273a77a86	auditory tone perception	resting	state	resting state	matter	clinical	gray	voxel	state functional	cingulate	healthy
trm_4a3fd79d0b61f	decision	inferior occipital	matching task	color	occipital gyrus	retrieval	agent	recollection	judgment	occipital	word
trm_557b474e2b578	auditory tone detection	inferior occipital	face	stimuli	matching	faces	occipito temporal	amygdala responses	matching task	importance	fusiform gyrus
trm_4a3fd79d0ab65	pattern recognition	pain	secondary somatosensory	insula	somatosensory	secondary	foot	sii	insular	painful	noxious
trm_4a3fd79d09ab2	auditory perception	state	negative	positive	medial prefrontal	posterior cingulate	resting state	resting	emotional	social	medial
