	TP	TN	FP	FN	image1	image2
186_394	18.0	0.0	240.0	6.0	186.0	394.0
418_1583	17.0	1.0	237.0	9.0	418.0	1583.0
3131_8625	11.0	0.0	248.0	5.0	3131.0	8625.0
116_143	11.0	0.0	252.0	1.0	116.0	143.0
140_166	32.0	0.0	227.0	5.0	140.0	166.0
2714_8820	10.0	0.0	247.0	7.0	2714.0	8820.0
119_3192	20.0	0.0	239.0	5.0	119.0	3192.0
138_2824	16.0	0.0	239.0	9.0	138.0	2824.0
147_188	22.0	1.0	235.0	6.0	147.0	188.0
2718_3179	15.0	0.0	241.0	8.0	2718.0	3179.0
1586_3131	18.0	0.0	240.0	6.0	1586.0	3131.0
187_8727	11.0	0.0	250.0	3.0	187.0	8727.0
4_2714	8.0	0.0	247.0	9.0	4.0	2714.0
177_8727	2.0	0.0	261.0	1.0	177.0	8727.0
2731_2826	15.0	0.0	244.0	5.0	2731.0	2826.0
146_183	25.0	0.0	231.0	8.0	146.0	183.0
122_143	13.0	0.0	249.0	2.0	122.0	143.0
122_178	4.0	0.0	255.0	5.0	122.0	178.0
3040_3142	7.0	0.0	253.0	4.0	3040.0	3142.0
186_3164	11.0	0.0	248.0	5.0	186.0	3164.0
138_2723	8.0	0.0	248.0	8.0	138.0	2723.0
4_3154	9.0	0.0	250.0	5.0	4.0	3154.0
154_2714	22.0	0.0	233.0	9.0	154.0	2714.0
4_3173	13.0	0.0	248.0	3.0	4.0	3173.0
418_1587	9.0	0.0	252.0	3.0	418.0	1587.0
164_3040	12.0	0.0	250.0	2.0	164.0	3040.0
165_3192	31.0	0.0	228.0	5.0	165.0	3192.0
2729_2826	15.0	0.0	244.0	5.0	2729.0	2826.0
159_407	18.0	0.0	243.0	3.0	159.0	407.0
111_164	10.0	1.0	248.0	5.0	111.0	164.0
146_8719	17.0	0.0	242.0	5.0	146.0	8719.0
3188_10924	12.0	1.0	246.0	5.0	3188.0	10924.0
3039_3186	13.0	0.0	247.0	4.0	3039.0	3186.0
3154_3185	19.0	0.0	240.0	5.0	3154.0	3185.0
109_3185	18.0	0.0	240.0	6.0	109.0	3185.0
139_143	22.0	0.0	240.0	2.0	139.0	143.0
2883_3040	3.0	0.0	260.0	1.0	2883.0	3040.0
188_3040	9.0	1.0	250.0	4.0	188.0	3040.0
109_1584	11.0	0.0	248.0	5.0	109.0	1584.0
177_10924	4.0	0.0	259.0	1.0	177.0	10924.0
3040_3173	13.0	0.0	249.0	2.0	3040.0	3173.0
407_3142	15.0	0.0	243.0	6.0	407.0	3142.0
3191_8727	14.0	0.0	247.0	3.0	3191.0	8727.0
154_178	16.0	0.0	242.0	6.0	154.0	178.0
1750_2729	12.0	0.0	246.0	6.0	1750.0	2729.0
136_3192	19.0	0.0	236.0	9.0	136.0	3192.0
144_3162	13.0	0.0	250.0	1.0	144.0	3162.0
119_178	9.0	0.0	250.0	5.0	119.0	178.0
1586_2826	20.0	0.0	236.0	8.0	1586.0	2826.0
177_3160	2.0	0.0	261.0	1.0	177.0	3160.0
154_3193	26.0	0.0	234.0	4.0	154.0	3193.0
1586_8730	17.0	0.0	238.0	9.0	1586.0	8730.0
116_418	8.0	0.0	253.0	3.0	116.0	418.0
173_2718	15.0	0.0	240.0	9.0	173.0	2718.0
190_420	18.0	0.0	241.0	5.0	190.0	420.0
407_3175	21.0	0.0	238.0	5.0	407.0	3175.0
109_3039	10.0	0.0	250.0	4.0	109.0	3039.0
136_8718	6.0	0.0	251.0	7.0	136.0	8718.0
2826_3173	23.0	0.0	236.0	5.0	2826.0	3173.0
1750_3162	10.0	0.0	249.0	5.0	1750.0	3162.0
3_3192	24.0	0.0	232.0	8.0	3.0	3192.0
1584_3194	16.0	0.0	244.0	4.0	1584.0	3194.0
177_415	5.0	0.0	258.0	1.0	177.0	415.0
109_8719	8.0	0.0	250.0	6.0	109.0	8719.0
2883_3154	9.0	0.0	251.0	4.0	2883.0	3154.0
144_157	24.0	0.0	237.0	3.0	144.0	157.0
141_2866	12.0	0.0	249.0	3.0	141.0	2866.0
188_3158	8.0	1.0	250.0	5.0	188.0	3158.0
183_2824	21.0	0.0	237.0	6.0	183.0	2824.0
166_2883	21.0	0.0	238.0	5.0	166.0	2883.0
2863_10924	6.0	0.0	254.0	4.0	2863.0	10924.0
147_2723	19.0	0.0	243.0	2.0	147.0	2723.0
2729_3131	14.0	0.0	248.0	2.0	2729.0	3131.0
3192_8718	14.0	0.0	247.0	3.0	3192.0	8718.0
2883_3131	11.0	0.0	251.0	2.0	2883.0	3131.0
3131_3188	21.0	0.0	240.0	3.0	3131.0	3188.0
143_394	17.0	0.0	243.0	4.0	143.0	394.0
1587_3164	2.0	0.0	260.0	2.0	1587.0	3164.0
