,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
9342,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.7
9428,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.71
9474,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.71
9560,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.72
9606,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.72
9692,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.73
9738,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.73
9824,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.74
9870,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.74
9956,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.75
10002,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.75
10088,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.76
10134,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.76
10220,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.77
10266,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.77
10352,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.78
10398,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.78
10484,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.79
10530,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.79
10616,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.8
10617,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.8
10662,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.8
10682,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.8
10748,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.81
10749,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.81
10794,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.81
10814,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.81
10880,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.82
10881,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.82
10926,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.82
10946,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.82
11012,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.83
11013,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.83
11058,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.83
11078,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.83
11144,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.84
11145,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.84
11162,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.84
11190,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.84
11210,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.84
11276,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.85
11277,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.85
11294,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.85
11322,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.85
11342,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.85
11408,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.86
11409,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.86
11426,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.86
11454,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.86
11474,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.86
11540,trm_55ef273a77a86,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.87
11541,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.87
11558,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.87
11606,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.87
11673,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.88
11690,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.88
11738,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.88
11782,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11805,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11814,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11822,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11843,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11870,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.89
11914,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11937,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11946,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11953,trm_557b4bb7cf05b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11954,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11955,trm_558c73f3c8c6f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11974,trm_4a3fd79d0b61f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11975,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11976,trm_567982752ff4a,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11981,trm_557b48d40d3cf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
11984,trm_4a3fd79d0b64e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
12002,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
12007,trm_4a3fd79d0a17f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.9
12015,trm_557b494ca540d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
